iter	Passed	Remaining
0	1	102
1	1	97
2	3	99
3	4	99
4	5	98
5	6	96
6	7	94
7	8	93
8	8	90
9	9	88
10	10	87
11	11	85
12	12	84
13	13	82
14	14	80
15	15	79
16	16	78
17	16	76
18	17	76
19	18	75
20	19	73
21	20	74
22	21	73
23	22	71
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	28	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	56
40	38	54
41	39	53
42	39	53
43	40	52
44	41	50
45	42	49
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	57	35
62	58	34
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	69	23
75	70	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	88	2
97	89	1
98	90	0
99	91	0
